code,name,date,close,action,strength,reason
SZ002464,*ST众应,2021-10-27,3.55,BUY_CHECK; SELL_CHECK; SELL_EARLY; SELL_MUST; SELL_CHECK; SELL_CHECK; ,6.9,"macd dea_signal over 0 n days_88; close under sma60; cross down sma60; SZ002464 2021-10-27,SELL_MUST, cross down sma60 and  macd dif cross down 0, price expected to continue drop. close 3.55 ,sma60 3.6696666666666666; macd dif cross down 0; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ002470,*ST金正,2021-10-27,2.63,BUY_CHECK; BUY_EARLY; SELL_MUST; SELL_CHECK; ,5.7,"close great than 1.2 sma200; cross over sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 2.63 ,sma60 2.607166666666666; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
SZ002476,宝莫股份,2021-10-27,4.33,BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"macd dea_signal over 0 n days_36; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 4.33 ,sma60 4.2170000000000005; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ002498,汉缆股份,2021-10-27,4.4,BUY_CHECK; BUY_EARLY; SELL_MUST; ,3.4,"ma55 near ma21; cross over sma21; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 4.4 ,sma60 4.2955000000000005; macd dif less than 0; macd sig less than 0; "
SZ002533,金杯电工,2021-10-27,8.73,BUY_CHECK; SELL_CHECK; BUY_CHECK; BUY_EARLY; SELL_MUST; BUY_CHECK; ,3.4,"macd historgram over 0 n days_8; sma21 under sma60; close great than 1.2 sma200; cross over sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 8.73 ,sma60 8.547666666666666; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ002534,杭锅股份,2021-10-27,20.57,BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 20.57 ,sma60 20.01366666666667; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
SZ002576,通达动力,2021-10-27,14.67,BUY_CHECK; BUY_CHECK; SELL_MUST; SELL_CHECK; ,1.0,"close great than 1.05 sma60; close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 14.67 ,sma60 13.951333333333334; macd dif less than 0; macd sig less than 0; macd dif less than sig; "
SZ002585,双星新材,2021-10-27,25.45,BUY_CHECK; BUY_CHECK; BUY_EARLY; BUY_EARLY; SELL_MUST; ,5.8,"ma55 near ma21; close great than 1.2 sma200; cross over sma5; cross over sma21; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 25.45 ,sma60 24.96466666666667; macd dif less than 0; macd sig less than 0; "
SZ002598,山东章鼓,2021-10-27,11.97,BUY_CHECK; SELL_CHECK; BUY_CHECK; SELL_MUST; BUY_CHECK; ,1.0,"macd historgram over 0 n days_6; sma21 under sma60; close great than 1.2 sma200; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 11.97 ,sma60 11.666166666666665; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ002631,德尔未来,2021-10-27,7.91,BUY_CHECK; SELL_CHECK; SELL_MUST; BUY_CHECK; ,1.0,"macd historgram over 0 n days_2; sma21 under sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 7.91 ,sma60 7.795; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ002645,华宏科技,2021-10-27,20.19,BUY_CHECK; SELL_CHECK; BUY_CHECK; BUY_EARLY; SELL_MUST; BUY_CHECK; ,7.4,"macd historgram over 0 n days_4; sma21 under sma60; close great than 1.2 sma200; cross over sma60; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 20.19 ,sma60 19.772000000000002; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ002692,ST远程,2021-10-27,2.93,BUY_CHECK; SELL_EARLY; SELL_MUST; SELL_CHECK; ,3.0,"macd dea_signal over 0 n days_44; cross down sma5; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 2.93 ,sma60 2.916333333333333; macd dif less than 0; macd sig great than 0; macd dif less than sig; "
SZ002726,龙大肉食,2021-10-27,9.95,BUY_CHECK; BUY_EARLY; SELL_MUST; BUY_CHECK; BUY_CHECK; ,4.1,"ma55 near ma21; cross over sma21; SELL_MUST,close above sma60but macd dif less than 0, price expected to be drop back to under sma60, close 9.95 ,sma60 9.733666666666666; macd dif cross over sig; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
SZ002798,帝欧家居,2021-10-27,13.06,BUY_CHECK; BUY_CHECK; SELL_CHECK; SELL_CHECK; SELL_EARLY; SELL_EARLY; SELL_MUST; SELL_CHECK; BUY_CHECK; ,11.8,"macd historgram over 0 n days_5; ma55 near ma21; close under sma60; sma21 under sma60; cross down sma21; cross down sma60; SZ002798 2021-10-27,SELL_MUST, cross down sma60 and  macd dif cross down 0, price expected to continue drop. close 13.06 ,sma60 13.571333333333333; macd dif cross down 0; macd dif less than 0; macd sig less than 0; macd dif great than sig; "
