code,name,end_date,n_cashflow_act,net_profit,n_cashflow_inv_act,n_cash_flows_fnc_act,im_net_cashflow_oper_act,accounts_receiv,acct_payable,notes_receiv,oth_receiv,money_cap,r_and_d,goodwill
SH600728,佳都科技,20211231,381838771.2,306631577.68,-311533224.54,-288774621.21,381838771.2,2623449298.09,1734859359.99,28725872.99,56911819.09,1245615917.13,85903614.3,164894841.21
SH600733,北汽蓝谷,20211231,4985342191.17,-5169879620.7,-2329955378.26,-243969174.36,4985342191.17,12810797010.7,4278731956.8,1215226923.17,29292479.22,6627340165.24,1649714262.12,0.0
SH600749,西藏旅游,20211231,42227386.25,-8429036.42,-78050079.2,93543189.99,42227386.25,35887154.4,66110170.05,0.0,6435121.06,575364858.78,0.0,0.0
SH600754,锦江酒店,20211231,2068952070.95,299347394.11,-3986407816.21,934625176.26,2068952070.95,1551762783.2,1072906909.47,0.0,640206298.99,6432615884.52,0.0,11000199835.42
SH600760,中航沈飞,20211231,10094886730.18,1696470620.07,-733457801.59,-374503795.56,10094886730.18,3601273212.85,9700724174.77,20235850.75,94556012.84,21621070908.79,0.0,0.0
SH600761,安徽合力,20211231,647517131.15,785220954.29,-1203383479.52,400657451.0,647517131.15,1207043386.32,1930353172.1,615000.0,33198848.89,2004353060.9,0.0,55816526.71
SH600765,中航重机,20211231,1517593549.52,966677089.03,-281409280.22,1842948320.76,1517593549.52,2635413215.29,2290687037.9,2744095923.1,16113019.11,6130360471.08,0.0,40946134.9
SH600768,宁波富邦,20211231,9589419.73,2844894.23,-24028673.47,-17176923.87,9589419.73,18762352.13,1881966.86,0.0,86374.39,75184984.69,0.0,0.0
SH600774,汉商集团,20211231,332997567.15,80481387.69,-605537680.44,215345275.53,332997567.15,144454754.3,184070357.16,38209083.89,56337682.55,272206292.9,12783246.72,289876763.61
SH600775,南京熊猫,20211231,208170561.48,80132687.41,-480708719.2,-28714757.98,208170561.48,1150920743.65,1607660654.09,59789784.39,41962947.68,963218477.01,0.0,0.0
SH600784,鲁银投资,20211231,273698260.61,234108570.28,194682622.06,-403467686.34,273698260.61,441041295.56,230374206.93,121237676.88,44619535.32,311436098.67,0.0,18021153.99
SH600785,新华百货,20211231,758646394.05,23363322.97,-239177974.48,-911265086.68,758646394.05,126022217.94,990174759.39,20303253.0,68832058.9,413238534.45,0.0,1116192.86
SH600787,中储股份,20211231,1802066693.72,805677507.9,-786350458.74,-230404121.91,1802066693.72,1447878149.28,670428456.48,192925924.54,2267687004.95,2390381780.43,10890042.31,93126413.4
SH600792,云煤能源,20211231,258193218.81,-20562345.12,-283341765.97,119661010.81,258193218.81,949679865.76,944917130.77,619458935.79,34843866.26,532994699.12,0.0,25560710.57
SH600817,宇通重工,20211231,84380610.38,436766752.97,-5249679.61,90576742.08,84380610.38,713339053.84,688389968.09,91553214.16,21776780.09,1743210322.4,0.0,0.0
SH600819,耀皮玻璃,20211231,583878252.92,135198977.78,-449148450.02,-279207443.06,583878252.92,596842072.83,811476321.95,27376155.31,9149455.26,556966253.3,884317.28,0.0
SH600821,金开新能,20211231,875804051.98,428004284.68,-6131223860.32,4816528845.24,875804051.98,3751971575.02,87095181.35,0.0,131470034.83,563708364.2,0.0,1273600353.61
SH600829,人民同泰,20211231,-233004243.19,276513508.76,-11547116.28,342310599.38,-233004243.19,3852043406.77,1423313618.43,26708586.75,11494404.22,800491645.34,0.0,0.0
SH600833,第一医药,20211231,36559506.72,49419058.45,-59237363.41,-236059271.01,36559506.72,133558538.35,296175530.79,0.0,31315850.12,262283455.11,0.0,0.0
SH600835,上海机电,20211231,720404587.01,1172598140.1,113609932.09,-1049061444.49,720404587.01,3833034674.2,3817090716.56,1301599159.42,200418357.94,11741355617.27,0.0,0.0
SH600841,动力新科,20211231,-2176391133.23,800375572.72,-1000780596.03,2401799348.47,-2176391133.23,6164430271.28,4405300253.94,1502773280.85,21528695.09,6290829879.34,277016841.49,0.0
SH600845,宝信软件,20211231,1928110670.97,1908767177.95,-825991449.37,-1186668629.81,1928110670.97,2389838341.33,2795150137.37,1327609592.82,57812167.88,4299664938.81,0.0,11722785.64
SH600853,龙建股份,20211231,-1254849155.62,319584596.23,-1035232285.61,2852907208.64,-1254849155.62,4043555931.14,6263110711.03,2162018.18,565218130.84,5359731223.16,0.0,1546626.02
SH600855,航天长峰,20211231,-154119292.96,104413537.34,-36885329.82,72435326.42,-154119292.96,1017511871.85,1222539676.97,248530251.73,63994110.27,1030023055.17,0.0,71766699.69
SH600860,京城股份,20211231,-32694712.35,-41235891.79,-59371985.68,-71190178.01,-32694712.35,175225191.63,263096766.13,0.0,9636026.09,105776763.72,0.0,0.0
SH600861,北京城乡,20211231,95743470.78,-60127951.39,-14922312.0,-191511545.64,95743470.78,15778297.82,84236514.95,0.0,7228545.21,270567149.81,0.0,0.0
SH600862,中航高科,20211231,381831525.68,591277697.05,64204574.87,-402134943.52,381831525.68,1408955778.13,697429527.14,266841283.76,3249631.99,1595131458.17,23972103.81,0.0
SH600866,星湖科技,20211231,192629097.87,106469880.7,-169910448.91,-24235847.4,192629097.87,138788210.97,200741278.9,0.0,12061987.86,231033037.97,0.0,197956935.97
SH600871,石化油服,20211231,6206909000.0,179791000.0,-3253443000.0,-1948207000.0,6206909000.0,8151019000.0,21556262000.0,0.0,2551744000.0,2508224000.0,0.0,0.0
SH600874,创业环保,20211231,936808000.0,719010000.0,-1547421000.0,1051512000.0,936808000.0,2325550000.0,429522000.0,8123000.0,29293000.0,2139487000.0,0.0,405461000.0
SH600875,东方电气,20211231,-4420888980.16,2429223530.26,-3052869630.9,-378255038.12,-4420888980.16,7986787322.58,13959367074.05,2994627532.41,362294116.76,18721874434.15,4270168.76,0.0
SH600876,洛阳玻璃,20211231,136314148.15,345165926.25,-1710583296.0,2384619268.87,136314148.15,438504721.48,645516087.58,204999510.62,35054042.55,1116571580.99,12951857.34,0.0
SH600879,航天电子,20211231,239119604.3,594272116.37,-531515357.26,-574606265.41,239119604.3,5013897867.93,5161250723.59,1044988851.18,177656274.04,2203838627.71,6888362.98,0.0
SH600889,南京化纤,20211231,-88943868.42,-191174002.15,-81801641.31,80645567.4,-88943868.42,22585794.58,167333080.06,0.0,4285302.68,78924136.84,0.0,0.0
SH600898,ST美讯,20211231,-349700642.56,-51189651.87,100464959.72,153510179.49,-349700642.56,96341059.52,144576661.42,25940480.82,1489866.27,149371048.47,0.0,0.0
SH600933,爱柯迪,20211231,481393870.39,322785497.39,-1581113494.79,563193469.9,481393870.39,801709076.2,265906578.36,14208102.19,41439133.38,1328636297.07,0.0,8288016.85
